InstrumentID, TradingDay, UpdateTime, UpdateMillisec, LastPrice
ag2012,20200617,20:59:00,500,4249
ag2012,20200617,21:00:00,500,4249
ag2012,20200617,21:00:01,0,4249
ag2012,20200617,21:00:01,500,4250
ag2012,20200617,21:00:02,0,4249
ag2012,20200617,21:00:02,500,4249
ag2012,20200617,21:00:03,0,4248
ag2012,20200617,21:00:03,500,4248
ag2012,20200617,21:00:04,0,4247
ag2012,20200617,21:00:04,500,4247
ag2012,20200617,21:00:05,0,4246
ag2012,20200617,21:00:05,500,4246
ag2012,20200617,21:00:06,0,4247
ag2012,20200617,21:00:06,500,4246
ag2012,20200617,21:00:07,0,4246
ag2012,20200617,21:00:07,500,4246
ag2012,20200617,21:00:08,0,4246
ag2012,20200617,21:00:08,500,4246
ag2012,20200617,21:00:09,0,4245
ag2012,20200617,21:00:09,500,4247
ag2012,20200617,21:00:10,0,4245
ag2012,20200617,21:00:10,500,4243
ag2012,20200617,21:00:11,0,4244
ag2012,20200617,21:00:11,500,4244
ag2012,20200617,21:00:12,0,4245
ag2012,20200617,21:00:12,500,4244
ag2012,20200617,21:00:13,0,4245
ag2012,20200617,21:00:13,500,4244
ag2012,20200617,21:00:14,0,4244
ag2012,20200617,21:00:14,500,4245
ag2012,20200617,21:00:15,0,4246
ag2012,20200617,21:00:15,500,4246
ag2012,20200617,21:00:16,0,4246
ag2012,20200617,21:00:16,500,4247
ag2012,20200617,21:00:17,0,4246
ag2012,20200617,21:00:17,500,4247
ag2012,20200617,21:00:18,0,4248
ag2012,20200617,21:00:18,500,4248
ag2012,20200617,21:00:19,0,4247
ag2012,20200617,21:00:19,500,4248
ag2012,20200617,21:00:20,0,4248
ag2012,20200617,21:00:20,500,4249
ag2012,20200617,21:00:21,0,4249
ag2012,20200617,21:00:21,500,4248
ag2012,20200617,21:00:22,0,4249
ag2012,20200617,21:00:22,500,4249
ag2012,20200617,21:00:23,0,4249
ag2012,20200617,21:00:23,500,4250
ag2012,20200617,21:00:24,0,4250
ag2012,20200617,21:00:24,500,4251
ag2012,20200617,21:00:25,0,4251
ag2012,20200617,21:00:25,500,4250
ag2012,20200617,21:00:26,0,4250
ag2012,20200617,21:00:26,500,4250
ag2012,20200617,21:00:27,0,4251
ag2012,20200617,21:00:27,500,4249
ag2012,20200617,21:00:28,0,4250
ag2012,20200617,21:00:28,500,4251
ag2012,20200617,21:00:29,0,4250
ag2012,20200617,21:00:29,500,4250
ag2012,20200617,21:00:30,0,4251
ag2012,20200617,21:00:30,500,4250
ag2012,20200617,21:00:31,0,4250
ag2012,20200617,21:00:31,500,4251
ag2012,20200617,21:00:32,0,4251
ag2012,20200617,21:00:32,500,4250
ag2012,20200617,21:00:33,0,4251
ag2012,20200617,21:00:33,500,4250
ag2012,20200617,21:00:34,0,4251
ag2012,20200617,21:00:34,500,4249
ag2012,20200617,21:00:35,0,4251
ag2012,20200617,21:00:35,500,4251
ag2012,20200617,21:00:36,0,4250
ag2012,20200617,21:00:36,500,4251
ag2012,20200617,21:00:37,0,4251
ag2012,20200617,21:00:37,500,4250
ag2012,20200617,21:00:38,0,4251
ag2012,20200617,21:00:38,500,4250
ag2012,20200617,21:00:39,0,4249
ag2012,20200617,21:00:39,500,4251
ag2012,20200617,21:00:40,0,4250
ag2012,20200617,21:00:40,500,4250
ag2012,20200617,21:00:41,0,4250
ag2012,20200617,21:00:41,500,4249
ag2012,20200617,21:00:42,0,4250
ag2012,20200617,21:00:42,500,4250
ag2012,20200617,21:00:43,0,4250
ag2012,20200617,21:00:43,500,4250
ag2012,20200617,21:00:44,0,4250
ag2012,20200617,21:00:44,500,4251
ag2012,20200617,21:00:45,0,4251
ag2012,20200617,21:00:45,500,4251
ag2012,20200617,21:00:46,0,4251
ag2012,20200617,21:00:46,500,4250
ag2012,20200617,21:00:47,0,4251
ag2012,20200617,21:00:47,500,4250
ag2012,20200617,21:00:48,0,4250
ag2012,20200617,21:00:48,500,4251
ag2012,20200617,21:00:49,0,4250
ag2012,20200617,21:00:49,500,4251
ag2012,20200617,21:00:50,0,4251
ag2012,20200617,21:00:50,500,4251
ag2012,20200617,21:00:51,0,4251
ag2012,20200617,21:00:51,500,4251
ag2012,20200617,21:00:52,0,4250
ag2012,20200617,21:00:52,500,4251
ag2012,20200617,21:00:53,0,4251
ag2012,20200617,21:00:53,500,4250
ag2012,20200617,21:00:54,0,4251
ag2012,20200617,21:00:54,500,4250
ag2012,20200617,21:00:55,0,4251
ag2012,20200617,21:00:55,500,4251
ag2012,20200617,21:00:56,0,4251
ag2012,20200617,21:00:56,500,4251
ag2012,20200617,21:00:57,0,4251
ag2012,20200617,21:00:57,500,4250
ag2012,20200617,21:00:58,0,4251
ag2012,20200617,21:00:58,500,4251
ag2012,20200617,21:00:59,0,4251
ag2012,20200617,21:00:59,500,4251
ag2012,20200617,21:01:00,0,4250
ag2012,20200617,21:01:00,500,4250
ag2012,20200617,21:01:01,0,4249
ag2012,20200617,21:01:01,500,4250
ag2012,20200617,21:01:02,0,4251
ag2012,20200617,21:01:02,500,4251
ag2012,20200617,21:01:03,0,4251
ag2012,20200617,21:01:03,500,4252
